id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
27234,ZWSH,medium_airport,Kashgar Airport,39.54290009,76.01999664,4529,AS,China,CN,Xinjiang Autonomous Region,CN-65,65,Kashgar,1,ZWSH,KHG,,,,,,,,,,,,,,,,,,,,,,,
322165,ZBMZ,medium_airport,Manzhouli Xijiao Airport,49.566667,117.33,2231,AS,China,CN,Inner Mongolia Autonomous Region,CN-15,15,,1,ZBMZ,NZH,,,,,,,,,,,,,,,,,,,,,,,
44191,CN-0113,medium_airport,Altay Xuedu Airport,47.749886,88.085808,2460,AS,China,CN,Xinjiang Autonomous Region,CN-65,65,Altay,1,ZWAT,AAT,,,,,,,,,,,,,,,,,,,,,,,
314499,ZBYZ,medium_airport,Bayannur Tianjitai Airport,40.926,107.7428,3400,AS,China,CN,Inner Mongolia Autonomous Region,CN-15,15,Bavannur,1,ZBYZ,RLK,,,,,,,,,,,,,,,,,,,,,,,
313426,ZWKN,medium_airport,Burqin Kanas Airport,48.2223,86.9959,3921,AS,China,CN,Xinjiang Autonomous Region,CN-65,65,Burqin,1,ZWKN,KJI,,,,,,,,,,,,,,,,,,,,,,,
31862,ZPLX,medium_airport,Dehong Mangshi Airport,24.4011,98.5317,2890,AS,China,CN,Yunnan Province,CN-53,53,Dehong (Mangshi),1,ZPMS,LUM,,,,,,,,,,,,,,,,,,,,,,,
30916,ZPDQ,medium_airport,Diqing Shangri-La Airport,27.7936,99.6772,10761,AS,China,CN,Yunnan Province,CN-53,53,Diqing (Shangri-La),1,ZPDQ,DIG,,,,,,,,,,,,,,,,,,,,,,,
300671,ZBER,medium_airport,Erenhot Saiwusu International Airport,43.4225,112.096667,3301,AS,China,CN,Inner Mongolia Autonomous Region,CN-15,15,Erenhot,1,ZBER,ERL,,,,,,,,,,,,,,,,,,,,,,,
312986,ZLXH,medium_airport,Gannan Xiahe Airport,34.819014,102.622261,10510,AS,China,CN,Gansu Province,CN-62,62,Gannan (Xiahe),1,ZLXH,GXH,,,,,,,,,,,,,,,,,,,,,,,
35308,ZLGM,medium_airport,Golmud Airport,36.4006,94.786102,9334,AS,China,CN,Qinghai Province,CN-63,63,Golmud,1,ZLGM,GOQ,,,,,,,,,,,,,,,,,,,,,,,
